,DrugBank ID,Drug name,UniProt ID,UniProt Name
713,DB01068,Clonazepam,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
714,DB01068,Clonazepam,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
715,DB01068,Clonazepam,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
716,DB01068,Clonazepam,P18505,Gamma-aminobutyric acid receptor subunit beta-1
717,DB01068,Clonazepam,P47870,Gamma-aminobutyric acid receptor subunit beta-2
718,DB01068,Clonazepam,P28472,Gamma-aminobutyric acid receptor subunit beta-3
719,DB01068,Clonazepam,O14764,Gamma-aminobutyric acid receptor subunit delta
720,DB01068,Clonazepam,P78334,Gamma-aminobutyric acid receptor subunit epsilon
721,DB01068,Clonazepam,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
722,DB01068,Clonazepam,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
723,DB01068,Clonazepam,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
724,DB01068,Clonazepam,O00591,Gamma-aminobutyric acid receptor subunit pi
725,DB01068,Clonazepam,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
726,DB01068,Clonazepam,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
727,DB01068,Clonazepam,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
728,DB01068,Clonazepam,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
729,DB01068,Clonazepam,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
730,DB01068,Clonazepam,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
731,DB01068,Clonazepam,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
732,DB01068,Clonazepam,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
733,DB01068,Clonazepam,O75469,Nuclear receptor subfamily 1 group I member 2
734,DB00575,Clonidine,P08913,Alpha-2A adrenergic receptor
735,DB00575,Clonidine,P18089,Alpha-2B adrenergic receptor
736,DB00575,Clonidine,P18825,Alpha-2C adrenergic receptor
737,DB00575,Clonidine,P35348,Alpha-1A adrenergic receptor
738,DB00575,Clonidine,P35368,Alpha-1B adrenergic receptor
739,DB00575,Clonidine,P25100,Alpha-1D adrenergic receptor
740,DB00758,Clopidogrel,Q9H244,P2Y purinoceptor 12
741,DB00257,Clotrimazole,P10613,Lanosterol 14-alpha demethylase
742,DB00257,Clotrimazole,O15554,Intermediate conductance calcium-activated potassium channel protein 4
743,DB00257,Clotrimazole,O75469,Nuclear receptor subfamily 1 group I member 2
744,DB00257,Clotrimazole,Q8TDS4,Hydroxycarboxylic acid receptor 2
745,DB00363,Clozapine,P14416,D(2) dopamine receptor
746,DB00363,Clozapine,P28223,5-hydroxytryptamine receptor 2A
747,DB00363,Clozapine,P21728,D(1A) dopamine receptor
748,DB00363,Clozapine,P35462,D(3) dopamine receptor
749,DB00363,Clozapine,P21917,D(4) dopamine receptor
750,DB00363,Clozapine,P08908,5-hydroxytryptamine receptor 1A
751,DB00363,Clozapine,P28222,5-hydroxytryptamine receptor 1B
752,DB00363,Clozapine,P28221,5-hydroxytryptamine receptor 1D
753,DB00363,Clozapine,P28566,5-hydroxytryptamine receptor 1E
754,DB00363,Clozapine,P46098,5-hydroxytryptamine receptor 3A
755,DB00363,Clozapine,P28335,5-hydroxytryptamine receptor 2C
756,DB00363,Clozapine,P34969,5-hydroxytryptamine receptor 7
757,DB00363,Clozapine,P50406,5-hydroxytryptamine receptor 6
758,DB00363,Clozapine,P35367,Histamine H1 receptor
759,DB00363,Clozapine,Q9H3N8,Histamine H4 receptor
760,DB00363,Clozapine,P35348,Alpha-1A adrenergic receptor
761,DB00363,Clozapine,P35368,Alpha-1B adrenergic receptor
762,DB00363,Clozapine,P08913,Alpha-2A adrenergic receptor
763,DB00363,Clozapine,P18089,Alpha-2B adrenergic receptor
764,DB00363,Clozapine,P18825,Alpha-2C adrenergic receptor
765,DB00363,Clozapine,P11229,Muscarinic acetylcholine receptor M1
766,DB00363,Clozapine,P08172,Muscarinic acetylcholine receptor M2
767,DB00363,Clozapine,P20309,Muscarinic acetylcholine receptor M3
768,DB00363,Clozapine,P08173,Muscarinic acetylcholine receptor M4
769,DB00363,Clozapine,P08912,Muscarinic acetylcholine receptor M5
770,DB00363,Clozapine,Q9NYX4,Neuron-specific vesicular protein calcyon
771,DB00363,Clozapine,P09211,Glutathione S-transferase P
772,DB00907,Cocaine,Q01959,Sodium-dependent dopamine transporter
773,DB00907,Cocaine,P23975,Sodium-dependent noradrenaline transporter
774,DB00907,Cocaine,P31645,Sodium-dependent serotonin transporter
775,DB00907,Cocaine,P35498,Sodium channel protein type 1 subunit alpha
776,DB00907,Cocaine,Q9Y5Y9,Sodium channel protein type 10 subunit alpha
777,DB00907,Cocaine,Q9UI33,Sodium channel protein type 11 subunit alpha
778,DB00907,Cocaine,Q99250,Sodium channel protein type 2 subunit alpha
779,DB00907,Cocaine,Q9NY46,Sodium channel protein type 3 subunit alpha
780,DB00907,Cocaine,P35499,Sodium channel protein type 4 subunit alpha
781,DB00907,Cocaine,Q14524,Sodium channel protein type 5 subunit alpha
782,DB00907,Cocaine,Q01118,Sodium channel protein type 7 subunit alpha
783,DB00907,Cocaine,Q9UQD0,Sodium channel protein type 8 subunit alpha
784,DB00907,Cocaine,Q15858,Sodium channel protein type 9 subunit alpha
785,DB00907,Cocaine,Q07699,Sodium channel subunit beta-1
786,DB00907,Cocaine,O60939,Sodium channel subunit beta-2
787,DB00907,Cocaine,Q9NY72,Sodium channel subunit beta-3
788,DB00907,Cocaine,Q8IWT1,Sodium channel subunit beta-4
789,DB00907,Cocaine,P11229,Muscarinic acetylcholine receptor M1
790,DB00907,Cocaine,P08172,Muscarinic acetylcholine receptor M2
791,DB00907,Cocaine,Q99720,Sigma non-opioid intracellular receptor 1
792,DB00907,Cocaine,P23141,Liver carboxylesterase 1
793,DB00318,Codeine,P35372,Mu-type opioid receptor
794,DB00318,Codeine,P41145,Kappa-type opioid receptor
795,DB00318,Codeine,P41143,Delta-type opioid receptor
796,DB01394,Colchicine,P07437,Tubulin beta chain
797,DB00115,Cyanocobalamin,Q99707,Methionine synthase
798,DB00115,Cyanocobalamin,P22033,"Methylmalonyl-CoA mutase, mitochondrial"
799,DB00115,Cyanocobalamin,Q9UBK8,Methionine synthase reductase
800,DB00115,Cyanocobalamin,Q8IVH4,"Methylmalonic aciduria type A protein, mitochondrial"
801,DB00115,Cyanocobalamin,Q9Y4U1,Methylmalonic aciduria and homocystinuria type C protein
802,DB00115,Cyanocobalamin,P42898,Methylenetetrahydrofolate reductase
803,DB01176,Cyclizine,P35367,Histamine H1 receptor
804,DB01176,Cyclizine,P49888,Estrogen sulfotransferase
805,DB00924,Cyclobenzaprine,P28223,5-hydroxytryptamine receptor 2A
806,DB00924,Cyclobenzaprine,P41595,5-hydroxytryptamine receptor 2B
807,DB00924,Cyclobenzaprine,P28335,5-hydroxytryptamine receptor 2C
808,DB00924,Cyclobenzaprine,P50406,5-hydroxytryptamine receptor 6
809,DB00924,Cyclobenzaprine,P31645,Sodium-dependent serotonin transporter
810,DB00924,Cyclobenzaprine,P23975,Sodium-dependent noradrenaline transporter
811,DB00924,Cyclobenzaprine,P34969,5-hydroxytryptamine receptor 7
812,DB00924,Cyclobenzaprine,O00206,Toll-like receptor 4
813,DB00924,Cyclobenzaprine,Q06278,Aldehyde oxidase
814,DB00091,Cyclosporine,P49069,Calcium signal-modulating cyclophilin ligand
815,DB00091,Cyclosporine,Q96LZ3,Calcineurin subunit B type 2
816,DB00091,Cyclosporine,P62937,Peptidyl-prolyl cis-trans isomerase A
817,DB00091,Cyclosporine,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
818,DB00434,Cyproheptadine,P35367,Histamine H1 receptor
819,DB00434,Cyproheptadine,P28223,5-hydroxytryptamine receptor 2A
820,DB00434,Cyproheptadine,P28335,5-hydroxytryptamine receptor 2C
821,DB00434,Cyproheptadine,P11229,Muscarinic acetylcholine receptor M1
822,DB00434,Cyproheptadine,P08172,Muscarinic acetylcholine receptor M2
823,DB00434,Cyproheptadine,P20309,Muscarinic acetylcholine receptor M3
824,DB00434,Cyproheptadine,P34969,5-hydroxytryptamine receptor 7
825,DB00987,Cytarabine,P06746,DNA polymerase beta
826,DB00851,Dacarbazine,Q14181,DNA polymerase alpha subunit B
827,DB00851,Dacarbazine,P52209,"6-phosphogluconate dehydrogenase, decarboxylating"
828,DB01406,Danazol,P03372,Estrogen receptor
829,DB01406,Danazol,P10275,Androgen receptor
830,DB01406,Danazol,P06401,Progesterone receptor
831,DB01406,Danazol,P30968,Gonadotropin-releasing hormone receptor
832,DB01406,Danazol,Q96P88,Putative gonadotropin-releasing hormone II receptor
833,DB01406,Danazol,P13500,C-C motif chemokine 2
834,DB01219,Dantrolene,P21817,Ryanodine receptor 1
835,DB01254,Dasatinib,P00519,Tyrosine-protein kinase ABL1
836,DB01254,Dasatinib,P12931,Proto-oncogene tyrosine-protein kinase Src
837,DB01254,Dasatinib,P29317,Ephrin type-A receptor 2
838,DB01254,Dasatinib,P06239,Tyrosine-protein kinase Lck
839,DB01254,Dasatinib,P07947,Tyrosine-protein kinase Yes
840,DB01254,Dasatinib,P10721,Mast/stem cell growth factor receptor Kit
841,DB01254,Dasatinib,P09619,Platelet-derived growth factor receptor beta
842,DB01254,Dasatinib,P51692,Signal transducer and activator of transcription 5B
843,DB01254,Dasatinib,P42684,Abelson tyrosine-protein kinase 2
844,DB01254,Dasatinib,P06241,Tyrosine-protein kinase Fyn
845,DB01254,Dasatinib,Q06187,Tyrosine-protein kinase BTK
846,DB01254,Dasatinib,Q92570,Nuclear receptor subfamily 4 group A member 3
847,DB01254,Dasatinib,P11274,Breakpoint cluster region protein
848,DB01254,Dasatinib,P41240,Tyrosine-protein kinase CSK
849,DB01254,Dasatinib,P54756,Ephrin type-A receptor 5
850,DB01254,Dasatinib,P54760,Ephrin type-B receptor 4
851,DB01254,Dasatinib,P09769,Tyrosine-protein kinase Fgr
852,DB01254,Dasatinib,P42685,Tyrosine-protein kinase FRK
853,DB01254,Dasatinib,P11142,Heat shock cognate 71 kDa protein
854,DB01254,Dasatinib,P07948,Tyrosine-protein kinase Lyn
855,DB01254,Dasatinib,Q9NYL2,Mitogen-activated protein kinase kinase kinase MLT
856,DB01254,Dasatinib,Q16539,Mitogen-activated protein kinase 14
857,DB01254,Dasatinib,Q06203,Amidophosphoribosyltransferase
858,DB00694,Daunorubicin,P11388,DNA topoisomerase 2-alpha
859,DB00694,Daunorubicin,Q02880,DNA topoisomerase 2-beta
860,DB01262,Decitabine,P26358,DNA (cytosine-5)-methyltransferase 1
861,DB01262,Decitabine,Q9Y6K1,DNA (cytosine-5)-methyltransferase 3A
862,DB01262,Decitabine,Q9UBC3,DNA (cytosine-5)-methyltransferase 3B
863,DB01189,Desflurane,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
864,DB01189,Desflurane,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
865,DB01189,Desflurane,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
866,DB01189,Desflurane,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
867,DB01189,Desflurane,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
868,DB01189,Desflurane,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
869,DB01189,Desflurane,P18505,Gamma-aminobutyric acid receptor subunit beta-1
870,DB01189,Desflurane,P47870,Gamma-aminobutyric acid receptor subunit beta-2
871,DB01189,Desflurane,P28472,Gamma-aminobutyric acid receptor subunit beta-3
872,DB01189,Desflurane,O14764,Gamma-aminobutyric acid receptor subunit delta
873,DB01189,Desflurane,P78334,Gamma-aminobutyric acid receptor subunit epsilon
874,DB01189,Desflurane,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
875,DB01189,Desflurane,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
876,DB01189,Desflurane,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
877,DB01189,Desflurane,O00591,Gamma-aminobutyric acid receptor subunit pi
878,DB01189,Desflurane,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
879,DB01189,Desflurane,P23415,Glycine receptor subunit alpha-1
880,DB01189,Desflurane,P42261,Glutamate receptor 1
881,DB01189,Desflurane,Q09470,Potassium voltage-gated channel subfamily A member 1
882,DB01189,Desflurane,P30049,"ATP synthase subunit delta, mitochondrial"
883,DB01189,Desflurane,P03886,NADH-ubiquinone oxidoreductase chain 1
884,DB01189,Desflurane,P98194,Calcium-transporting ATPase type 2C member 1
885,DB01189,Desflurane,O75185,Calcium-transporting ATPase type 2C member 2
886,DB01189,Desflurane,P20020,Plasma membrane calcium-transporting ATPase 1
887,DB01189,Desflurane,Q01814,Plasma membrane calcium-transporting ATPase 2
888,DB01189,Desflurane,Q16720,Plasma membrane calcium-transporting ATPase 3
889,DB01189,Desflurane,P23634,Plasma membrane calcium-transporting ATPase 4
890,DB01189,Desflurane,O14983,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
891,DB01189,Desflurane,P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
892,DB01151,Desipramine,P23975,Sodium-dependent noradrenaline transporter
893,DB01151,Desipramine,P28223,5-hydroxytryptamine receptor 2A
894,DB01151,Desipramine,P07550,Beta-2 adrenergic receptor
895,DB01151,Desipramine,P31645,Sodium-dependent serotonin transporter
896,DB01151,Desipramine,P08588,Beta-1 adrenergic receptor
897,DB01151,Desipramine,P35367,Histamine H1 receptor
898,DB01151,Desipramine,P17405,Sphingomyelin phosphodiesterase
899,DB01151,Desipramine,P35348,Alpha-1A adrenergic receptor
900,DB01151,Desipramine,P35368,Alpha-1B adrenergic receptor
901,DB01151,Desipramine,P25100,Alpha-1D adrenergic receptor
902,DB01151,Desipramine,P11229,Muscarinic acetylcholine receptor M1
903,DB01151,Desipramine,P08172,Muscarinic acetylcholine receptor M2
904,DB01151,Desipramine,P20309,Muscarinic acetylcholine receptor M3
905,DB01151,Desipramine,P08173,Muscarinic acetylcholine receptor M4
906,DB01151,Desipramine,P08912,Muscarinic acetylcholine receptor M5
907,DB01151,Desipramine,P08908,5-hydroxytryptamine receptor 1A
908,DB01151,Desipramine,P28335,5-hydroxytryptamine receptor 2C
909,DB01151,Desipramine,P14416,D(2) dopamine receptor
910,DB01151,Desipramine,P08913,Alpha-2A adrenergic receptor
911,DB01151,Desipramine,P18089,Alpha-2B adrenergic receptor
912,DB01151,Desipramine,P18825,Alpha-2C adrenergic receptor
913,DB00035,Desmopressin,P30518,Vasopressin V2 receptor
914,DB00035,Desmopressin,P37288,Vasopressin V1a receptor
915,DB00035,Desmopressin,P47901,Vasopressin V1b receptor
916,DB00304,Desogestrel,P06401,Progesterone receptor
917,DB00304,Desogestrel,P03372,Estrogen receptor
918,DB01260,Desonide,P04150,Glucocorticoid receptor
919,DB00547,Desoximetasone,P04150,Glucocorticoid receptor
920,DB01234,Dexamethasone,P04150,Glucocorticoid receptor
921,DB01234,Dexamethasone,P51843,Nuclear receptor subfamily 0 group B member 1
922,DB01234,Dexamethasone,P04083,Annexin A1
923,DB01234,Dexamethasone,P35228,"Nitric oxide synthase, inducible"
924,DB01234,Dexamethasone,O75469,Nuclear receptor subfamily 1 group I member 2
925,DB00380,Dexrazoxane,P11388,DNA topoisomerase 2-alpha
926,DB00380,Dexrazoxane,Q02880,DNA topoisomerase 2-beta
927,DB01576,Dextroamphetamine,Q05940,Synaptic vesicular amine transporter
928,DB01576,Dextroamphetamine,P23975,Sodium-dependent noradrenaline transporter
929,DB01576,Dextroamphetamine,Q01959,Sodium-dependent dopamine transporter
930,DB01576,Dextroamphetamine,Q96RJ0,Trace amine-associated receptor 1
931,DB01576,Dextroamphetamine,P35368,Alpha-1B adrenergic receptor
932,DB01576,Dextroamphetamine,P35348,Alpha-1A adrenergic receptor
933,DB01576,Dextroamphetamine,P35368,Alpha-1B adrenergic receptor
934,DB01576,Dextroamphetamine,P25100,Alpha-1D adrenergic receptor
935,DB01576,Dextroamphetamine,P08913,Alpha-2A adrenergic receptor
936,DB01576,Dextroamphetamine,P18089,Alpha-2B adrenergic receptor
937,DB01576,Dextroamphetamine,P18825,Alpha-2C adrenergic receptor
938,DB00514,Dextromethorphan,Q99720,Sigma non-opioid intracellular receptor 1
939,DB00514,Dextromethorphan,Q5T1J1,"HCG20471, isoform CRA_c"
940,DB00514,Dextromethorphan,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
941,DB00514,Dextromethorphan,Q15822,Neuronal acetylcholine receptor subunit alpha-2
942,DB00514,Dextromethorphan,P31645,Sodium-dependent serotonin transporter
943,DB00514,Dextromethorphan,O00264,Membrane-associated progesterone receptor component 1
944,DB00514,Dextromethorphan,P32297,Neuronal acetylcholine receptor subunit alpha-3
945,DB00514,Dextromethorphan,P43681,Neuronal acetylcholine receptor subunit alpha-4
946,DB00514,Dextromethorphan,P30926,Neuronal acetylcholine receptor subunit beta-4
947,DB00514,Dextromethorphan,P17787,Neuronal acetylcholine receptor subunit beta-2
948,DB00514,Dextromethorphan,P36544,Neuronal acetylcholine receptor subunit alpha-7
949,DB00514,Dextromethorphan,P35372,Mu-type opioid receptor
950,DB00514,Dextromethorphan,P41143,Delta-type opioid receptor
951,DB00514,Dextromethorphan,P41145,Kappa-type opioid receptor
952,DB00514,Dextromethorphan,P04839,Cytochrome b-245 heavy chain
953,DB00514,Dextromethorphan,P13498,Cytochrome b-245 light chain
954,DB00514,Dextromethorphan,P14598,Neutrophil cytosol factor 1
955,DB00514,Dextromethorphan,P19878,Neutrophil cytosol factor 2
956,DB00514,Dextromethorphan,Q15080,Neutrophil cytosol factor 4
957,DB00514,Dextromethorphan,P63000,Ras-related C3 botulinum toxin substrate 1
958,DB00514,Dextromethorphan,P15153,Ras-related C3 botulinum toxin substrate 2
959,DB00514,Dextromethorphan,P23975,Sodium-dependent noradrenaline transporter
960,DB00829,Diazepam,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
961,DB00829,Diazepam,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
962,DB00829,Diazepam,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
963,DB00829,Diazepam,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
964,DB00829,Diazepam,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
965,DB00829,Diazepam,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
966,DB00829,Diazepam,P18505,Gamma-aminobutyric acid receptor subunit beta-1
967,DB00829,Diazepam,P47870,Gamma-aminobutyric acid receptor subunit beta-2
968,DB00829,Diazepam,P28472,Gamma-aminobutyric acid receptor subunit beta-3
969,DB00829,Diazepam,O14764,Gamma-aminobutyric acid receptor subunit delta
970,DB00829,Diazepam,P78334,Gamma-aminobutyric acid receptor subunit epsilon
971,DB00829,Diazepam,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
972,DB00829,Diazepam,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
973,DB00829,Diazepam,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
974,DB00829,Diazepam,O00591,Gamma-aminobutyric acid receptor subunit pi
975,DB00829,Diazepam,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
976,DB00829,Diazepam,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
977,DB00829,Diazepam,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
978,DB00829,Diazepam,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
979,DB00829,Diazepam,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
980,DB00829,Diazepam,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
981,DB00829,Diazepam,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
982,DB00829,Diazepam,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
983,DB00586,Diclofenac,P35354,Prostaglandin G/H synthase 2
984,DB00586,Diclofenac,P23219,Prostaglandin G/H synthase 1
985,DB00804,Dicyclomine,P11229,Muscarinic acetylcholine receptor M1
986,DB00804,Dicyclomine,P08172,Muscarinic acetylcholine receptor M2
987,DB00937,Diethylpropion,P23975,Sodium-dependent noradrenaline transporter
988,DB00937,Diethylpropion,Q01959,Sodium-dependent dopamine transporter
989,DB00255,Diethylstilbestrol,P03372,Estrogen receptor
990,DB00255,Diethylstilbestrol,P62508,Estrogen-related receptor gamma
991,DB00255,Diethylstilbestrol,Q92731,Estrogen receptor beta
992,DB00255,Diethylstilbestrol,P11474,Steroid hormone receptor ERR1
993,DB00255,Diethylstilbestrol,O95718,Steroid hormone receptor ERR2
994,DB00255,Diethylstilbestrol,Q15596,Nuclear receptor coactivator 2
995,DB00255,Diethylstilbestrol,O75469,Nuclear receptor subfamily 1 group I member 2
996,DB00255,Diethylstilbestrol,P10275,Androgen receptor
997,DB00255,Diethylstilbestrol,P04278,Sex hormone-binding globulin
998,DB00861,Diflunisal,P35354,Prostaglandin G/H synthase 2
999,DB00861,Diflunisal,P23219,Prostaglandin G/H synthase 1
1000,DB00390,Digoxin,P05023,Sodium/potassium-transporting ATPase subunit alpha-1
1001,DB00320,Dihydroergotamine,P28221,5-hydroxytryptamine receptor 1D
1002,DB00320,Dihydroergotamine,P28222,5-hydroxytryptamine receptor 1B
1003,DB00320,Dihydroergotamine,P08913,Alpha-2A adrenergic receptor
1004,DB00320,Dihydroergotamine,P41595,5-hydroxytryptamine receptor 2B
1005,DB01070,Dihydrotachysterol,P11473,Vitamin D3 receptor
1006,DB00343,Diltiazem,Q06432,Voltage-dependent calcium channel gamma-1 subunit
1007,DB00343,Diltiazem,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C
1008,DB00917,Dinoprostone,P43116,Prostaglandin E2 receptor EP2 subtype
1009,DB00917,Dinoprostone,P34995,Prostaglandin E2 receptor EP1 subtype
1010,DB00917,Dinoprostone,P43115,Prostaglandin E2 receptor EP3 subtype
1011,DB00917,Dinoprostone,P35408,Prostaglandin E2 receptor EP4 subtype
1012,DB00917,Dinoprostone,Q9Y5Y4,Prostaglandin D2 receptor 2
1013,DB01075,Diphenhydramine,P35367,Histamine H1 receptor
1014,DB01075,Diphenhydramine,P08172,Muscarinic acetylcholine receptor M2
1015,DB01231,Diphenidol,P20309,Muscarinic acetylcholine receptor M3
1016,DB01231,Diphenidol,P11229,Muscarinic acetylcholine receptor M1
1017,DB01231,Diphenidol,P08172,Muscarinic acetylcholine receptor M2
1018,DB00449,Dipivefrin,P35348,Alpha-1A adrenergic receptor
1019,DB00449,Dipivefrin,P08913,Alpha-2A adrenergic receptor
1020,DB00449,Dipivefrin,P07550,Beta-2 adrenergic receptor
1021,DB00449,Dipivefrin,P06276,Cholinesterase
1022,DB00449,Dipivefrin,P22303,Acetylcholinesterase
1023,DB00975,Dipyridamole,O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase"
1024,DB00975,Dipyridamole,Q9Y233,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"
1025,DB00975,Dipyridamole,P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
1026,DB00975,Dipyridamole,P00813,Adenosine deaminase
1027,DB00975,Dipyridamole,P53805,Calcipressin-1
1028,DB00975,Dipyridamole,P02763,Alpha-1-acid glycoprotein 1
1029,DB00280,Disopyramide,Q14524,Sodium channel protein type 5 subunit alpha
1030,DB00280,Disopyramide,P11229,Muscarinic acetylcholine receptor M1
1031,DB00280,Disopyramide,P08172,Muscarinic acetylcholine receptor M2
1032,DB00280,Disopyramide,P20309,Muscarinic acetylcholine receptor M3
1033,DB00280,Disopyramide,Q9NZV8,Potassium voltage-gated channel subfamily D member 2
1034,DB00280,Disopyramide,Q9UK17,Potassium voltage-gated channel subfamily D member 3
1035,DB00280,Disopyramide,Q12809,Potassium voltage-gated channel subfamily H member 2
1036,DB00280,Disopyramide,P19652,Alpha-1-acid glycoprotein 2
1037,DB00822,Disulfiram,P05091,"Aldehyde dehydrogenase, mitochondrial"
1038,DB00822,Disulfiram,P09172,Dopamine beta-hydroxylase
1039,DB01248,Docetaxel,Q9H4B7,Tubulin beta-1 chain
1040,DB01248,Docetaxel,P10415,Apoptosis regulator Bcl-2
1041,DB01248,Docetaxel,P11137,Microtubule-associated protein 2
1042,DB01248,Docetaxel,P27816,Microtubule-associated protein 4
1043,DB01248,Docetaxel,P10636,Microtubule-associated protein tau
1044,DB01248,Docetaxel,O75469,Nuclear receptor subfamily 1 group I member 2
1045,DB00204,Dofetilide,Q12809,Potassium voltage-gated channel subfamily H member 2
1046,DB00204,Dofetilide,O95069,Potassium channel subfamily K member 2
1047,DB00204,Dofetilide,Q14500,ATP-sensitive inward rectifier potassium channel 12
1048,DB00757,Dolasetron,P46098,5-hydroxytryptamine receptor 3A
1049,DB00843,Donepezil,P22303,Acetylcholinesterase
1050,DB00843,Donepezil,P28223,5-hydroxytryptamine receptor 2A
1051,DB00843,Donepezil,P06276,Cholinesterase
1052,DB00843,Donepezil,P29475,"Nitric oxide synthase, brain"
1053,DB00843,Donepezil,P98066,Tumor necrosis factor-inducible gene 6 protein
1054,DB00843,Donepezil,P01584,Interleukin-1 beta
1055,DB00843,Donepezil,Q00653,Nuclear factor NF-kappa-B p100 subunit
1056,DB00843,Donepezil,P19838,Nuclear factor NF-kappa-B p105 subunit
1057,DB00843,Donepezil,Q05586,"Glutamate receptor ionotropic, NMDA 1"
1058,DB00843,Donepezil,Q12879,"Glutamate receptor ionotropic, NMDA 2A"
1059,DB00843,Donepezil,Q13224,"Glutamate receptor ionotropic, NMDA 2B"
1060,DB00843,Donepezil,Q14957,"Glutamate receptor ionotropic, NMDA 2C"
1061,DB00843,Donepezil,O15399,"Glutamate receptor ionotropic, NMDA 2D"
1062,DB00843,Donepezil,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
1063,DB00843,Donepezil,O60391,"Glutamate receptor ionotropic, NMDA 3B"
1064,DB00988,Dopamine,P14416,D(2) dopamine receptor
1065,DB00988,Dopamine,P21728,D(1A) dopamine receptor
1066,DB00988,Dopamine,P21918,D(1B) dopamine receptor
1067,DB00988,Dopamine,P35462,D(3) dopamine receptor
1068,DB00988,Dopamine,P21917,D(4) dopamine receptor
1069,DB00988,Dopamine,Q01959,Sodium-dependent dopamine transporter
1070,DB00988,Dopamine,P09172,Dopamine beta-hydroxylase
1071,DB00988,Dopamine,P08908,5-hydroxytryptamine receptor 1A
1072,DB00988,Dopamine,P34969,5-hydroxytryptamine receptor 7
1073,DB00988,Dopamine,P21728,D(1A) dopamine receptor
1074,DB00988,Dopamine,P21918,D(1B) dopamine receptor
1075,DB00988,Dopamine,P23975,Sodium-dependent noradrenaline transporter
1076,DB00988,Dopamine,P31645,Sodium-dependent serotonin transporter
1077,DB00988,Dopamine,P46098,5-hydroxytryptamine receptor 3A
1078,DB00988,Dopamine,O95264,5-hydroxytryptamine receptor 3B
1079,DB00988,Dopamine,P00441,Superoxide dismutase [Cu-Zn]
1080,DB00988,Dopamine,Q05940,Synaptic vesicular amine transporter
1081,DB00869,Dorzolamide,P00918,Carbonic anhydrase 2
1082,DB00869,Dorzolamide,P22748,Carbonic anhydrase 4
1083,DB00869,Dorzolamide,P00915,Carbonic anhydrase 1
1084,DB00869,Dorzolamide,P07451,Carbonic anhydrase 3
1085,DB00590,Doxazosin,P35348,Alpha-1A adrenergic receptor
1086,DB00590,Doxazosin,P25100,Alpha-1D adrenergic receptor
1087,DB00590,Doxazosin,Q12809,Potassium voltage-gated channel subfamily H member 2
1088,DB00590,Doxazosin,Q9H252,Potassium voltage-gated channel subfamily H member 6
1089,DB00590,Doxazosin,Q9NS40,Potassium voltage-gated channel subfamily H member 7
